Original,Language Code,Language Name,Initial,Final,Validated
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,it,Italian,Scarlett Johansson ha un appuntamento al buio con una piccola pitbull,Scarlett Johansson ha un appuntamento al buio con una piccola pitbull,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,ja,Japanese,スカーレット・ヨハンソンが小さなピットブルとブラインドデートをする,スカーレット・ヨハンソンが小さなピットブルとブラインドデートする,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,ms,Malay,Scarlett Johansson mempunyai janji temu buta dengan seekor pitbull kecil,Scarlett Johansson mempunyai janji temu buta dengan seekor pitbull kecil,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,pl,Polish,Scarlett Johansson ma randkę w ciemno z małą pitbulką,Scarlett Johansson ma randkę w ciemno z małą pitbullicą,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,pt,Portuguese,Scarlett Johansson tem um encontro às cegas com uma pequena pitbull,Scarlett Johansson tem um encontro às cegas com uma pequena pit bull,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,ro,Romanian,Scarlett Johansson are o întâlnire pe nevăzute cu o mică pitbull,Scarlett Johansson are o întâlnire pe nevăzute cu un mic pitbull,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,sv,Swedish,Scarlett Johansson har en blinddejt med en liten pitbull,Scarlett Johansson är på blinddejt med en liten pitbull,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,tl,Tagalog,May blind date si Scarlett Johansson sa isang maliit na pitbull,May blind date si Scarlett Johansson kasama ang isang maliit na pitbull,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,zh-TW,Chinese (Traditional),史嘉蕾·喬韓森和一隻小比特犬相親,史嘉蕾·喬韓森和一隻小比特犬相親,False
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,th,Thai,สการ์เลตต์ โจแฮนส์สัน มีนัดบอดกับพิตบูลตัวน้อย,สการ์เลตต์ โจแฮนส์สัน มีนัดบอดกับพิตบูลตัวเล็ก,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,tr,Turkish,Scarlett Johansson küçük bir pitbull ile bir çöpçatanlık randevusuna çıkıyor,Scarlett Johansson küçük bir pitbull ile çöpçatanlık randevusuna çıkıyor,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,uk,Ukrainian,Скарлетт Йоганссон має побачення наосліп з маленькою пітбулем,Скарлетт Йоганссон має побачення наосліп з маленьким пітбулем,True
Scarlett Johansson tiene una cita a ciegas con un una pequeña pitbull,vi,Vietnamese,Scarlett Johansson có một buổi hẹn hò giấu mặt với một cô pitbull nhỏ,Scarlett Johansson có một buổi hẹn hò giấu mặt với một cô chó pitbull nhỏ,True
